Name	ID	F635 Median	B635 Median	Flags	orig_row_number	ratio_naive	zscore_naive	zscore_mean_naive
GLRA2	IOH28650	77.0	79.0	0	274	0.974683544304	-0.856561763511	-0.64332014385
ND	IOH29187	79.0	79.0	0	275	1.0	-0.430078524188	-0.322090780898
ND	IOH29187	79.0	78.0	0	276	1.01282051282	-0.214103037607	-0.322090780898
IGHG1	IOH29385	80.0	77.0	0	277	1.03896103896	0.226262564901	0.226262564901
IGHG1	IOH29385	80.0	77.0	0	278	1.03896103896	0.226262564901	0.226262564901
DARS2	IOH28724	77.0	76.0	0	279	1.01315789474	-0.208419472171	0.436665204852
DARS2	IOH28724	85.0	78.0	0	280	1.08974358974	1.08174988188	0.436665204852
IGHV4-31	IOH29361	82.0	77.0	0	281	1.06493506494	0.66382329096	0.980774329708
IGHV4-31	IOH29361	86.0	78.0	0	282	1.10256410256	1.29772536846	0.980774329708
SCNN1G	IOH29148	80.0	78.0	0	283	1.02564102564	0.00187244897325	0.00467732542235
SCNN1G	IOH29148	79.0	77.0	0	284	1.02597402597	0.00748220187145	0.00467732542235
PARS2	IOH29317	86.0	80.0	0	285	1.075	0.833378072308	0.513614365788
PARS2	IOH29317	84.0	81.0	0	286	1.03703703704	0.193850659267	0.513614365788
CSRP2BP	IOH29311	76.0	80.0	0	287	0.95	-1.27238292185	-0.63245035999
CSRP2BP	IOH29311	79.0	77.0	0	288	1.02597402597	0.00748220187145	-0.63245035999
GOSR2	IOH9854	86.0	88.0	0	289	0.977272727273	-0.81294415949	-0.717227750664
GOSR2	IOH9854	87.0	88.0	0	290	0.988636363636	-0.621511341839	-0.717227750664
HRH1	IOH29722	84.0	84.0	0	291	1.0	-0.430078524188	-0.430078524188
HRH1	IOH29722	83.0	83.0	0	292	1.0	-0.430078524188	-0.430078524188
KCNAB2	IOH29643	124.0	82.0	-100	293	1.51219512195	8.19840554944	8.04369140233
KCNAB2	IOH29643	121.0	81.0	-100	294	1.49382716049	7.88897725521	8.04369140233
SNPH	IOH28750	89.0	78.0	0	295	1.14102564103	1.9456518282	1.52351792261
SNPH	IOH28750	84.0	77.0	0	296	1.09090909091	1.10138401702	1.52351792261
RBMY1A1	IOH28835	76.0	75.0	0	297	1.01333333333	-0.205464018144	0.666740362467
RBMY1A1	IOH28835	86.0	77.0	0	298	1.11688311688	1.53894474308	0.666740362467
WDR48	IOH29347	79.0	79.0	0	299	1.0	-0.430078524188	-0.856561763511
WDR48	IOH29347	75.0	79.0	0	300	0.949367088608	-1.28304500284	-0.856561763511
GNAQ	IOH29692	85.0	80.0	0	301	1.0625	0.622801972892	-0.11687989531
GNAQ	IOH29692	77.0	79.0	0	302	0.974683544304	-0.856561763511	-0.11687989531
ZNF131	IOH28741	80.0	76.0	0	303	1.05263157895	0.45655768388	0.567387209888
ZNF131	IOH28741	81.0	76.0	0	304	1.06578947368	0.678216735897	0.567387209888
